                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.20190E+02;    0.24810E+00;    0.30030E+02;    0.20010E+01;    0.28476E+01;    0.16848E+02;    0.80079E+02;    0.89533E+00;    0.24919E+00;    0.19747E+02;    0.56428E+05;    0.25234E+02;    0.40697E+02;    0.89915E+00;   -0.69430E-03;   -0.56541E-02;   -0.88789E-03;   -0.99060E+00;normal
    0.20079E+02;    0.24906E+00;    0.29929E+02;    0.20117E+01;    0.28650E+01;    0.16903E+02;    0.79881E+02;    0.90258E+00;    0.24917E+00;    0.19841E+02;    0.56381E+05;    0.25313E+02;    0.40700E+02;    0.89709E+00;    0.15459E-01;    0.19072E-02;   -0.12807E-02;   -0.47049E+00;normal
    0.19793E+02;    0.24925E+00;    0.30097E+02;    0.20070E+01;    0.28874E+01;    0.17084E+02;    0.79891E+02;    0.89601E+00;    0.24902E+00;    0.20142E+02;    0.57161E+05;    0.25231E+02;    0.40400E+02;    0.88922E+00;    0.76862E-02;   -0.37486E-02;   -0.10539E-02;   -0.20513E-01;normal
    0.20004E+02;    0.24944E+00;    0.30075E+02;    0.19842E+01;    0.28617E+01;    0.17143E+02;    0.80305E+02;    0.89939E+00;    0.25115E+00;    0.19854E+02;    0.56290E+05;    0.25215E+02;    0.40693E+02;    0.90295E+00;   -0.26205E-01;   -0.38439E-03;    0.12021E-02;   -0.59729E+00;normal
    0.20098E+02;    0.25144E+00;    0.30108E+02;    0.19761E+01;    0.28406E+01;    0.17052E+02;    0.79849E+02;    0.90203E+00;    0.24737E+00;    0.20200E+02;    0.56377E+05;    0.25715E+02;    0.40648E+02;    0.91440E+00;   -0.38558E-01;    0.26209E-02;   -0.47911E-02;   -0.11642E+01;normal
    0.20011E+02;    0.24853E+00;    0.30022E+02;    0.19905E+01;    0.28532E+01;    0.17128E+02;    0.79968E+02;    0.90042E+00;    0.24777E+00;    0.19847E+02;    0.56576E+05;    0.24922E+02;    0.40534E+02;    0.89676E+00;   -0.16948E-01;    0.21191E-02;   -0.87402E-03;   -0.46296E+00;normal
    0.19935E+02;    0.24899E+00;    0.30068E+02;    0.19991E+01;    0.28347E+01;    0.16897E+02;    0.80050E+02;    0.90457E+00;    0.25080E+00;    0.19790E+02;    0.56530E+05;    0.25146E+02;    0.40965E+02;    0.90782E+00;   -0.46211E-02;   -0.35474E-02;    0.11234E-02;   -0.96326E+00;normal
    0.20031E+02;    0.25179E+00;    0.29723E+02;    0.19779E+01;    0.28294E+01;    0.17147E+02;    0.80098E+02;    0.90609E+00;    0.25060E+00;    0.20007E+02;    0.56830E+05;    0.25132E+02;    0.40968E+02;    0.90075E+00;   -0.36480E-01;   -0.45010E-02;    0.10457E-02;   -0.84659E+00;normal
    0.20099E+02;    0.24872E+00;    0.29786E+02;    0.19971E+01;    0.28438E+01;    0.17099E+02;    0.79912E+02;    0.90598E+00;    0.25001E+00;    0.19917E+02;    0.55275E+05;    0.24150E+02;    0.40669E+02;    0.89969E+00;   -0.81126E-02;    0.14908E-01;    0.48573E-02;   -0.38730E+00;normal
    0.19914E+02;    0.24791E+00;    0.30290E+02;    0.20089E+01;    0.28448E+01;    0.17036E+02;    0.79951E+02;    0.90575E+00;    0.25012E+00;    0.19960E+02;    0.56705E+05;    0.25167E+02;    0.40627E+02;    0.90617E+00;    0.95097E-02;    0.42167E-02;    0.32475E-03;   -0.21819E+00;normal
